Date,Entity,Entity ID,Orders,Sales,Currency,Region,Inventory Purchase
31-01-2020,EUR Entity,10026,582641.6071,1026000000.00,EUR,EU,13656000.00
29-02-2020,EUR Entity,10026,701327.8604,1235000000.00,EUR,EU,36000000.00
31-03-2020,EUR Entity,10026,49114.52954,86488000.00,EUR,EU,150000000.00
30-04-2020,EUR Entity,10026,949490.0263,1672000000.00,EUR,EU,186000000.00
31-05-2020,EUR Entity,10026,539482.9695,950000000.00,EUR,EU,190749000.00
30-06-2020,EUR Entity,10026,841593.4324,1482000000.00,EUR,EU,199750200.00
31-07-2020,EUR Entity,10026,686038.913,1208077000.00,EUR,EU,229750200.00
31-08-2020,EUR Entity,10026,346455.963,610090000.00,EUR,EU,254514000.00
30-09-2020,EUR Entity,10026,489332.6327,861688000.00,EUR,EU,301656000.00
31-10-2020,EUR Entity,10026,591683.3416,1041922000.00,EUR,EU,311148000.00
30-11-2020,EUR Entity,10026,761232.0493,1340488000.00,EUR,EU,607656000.00
31-12-2020,EUR Entity,10026,2198026.252,3870604000.00,EUR,EU,294000000.00
31-01-2021,EUR Entity,10026,4209738.938,7413120000.00,EUR,EU,16387200.00
28-02-2021,EUR Entity,10026,3238260.721,5702400000.00,EUR,EU,43200000.00
31-03-2021,EUR Entity,10026,871480.7253,1534629888.00,EUR,EU,180000000.00
30-04-2021,EUR Entity,10026,4144973.723,7299072000.00,EUR,EU,223200000.00
31-05-2021,EUR Entity,10026,4792496.337,8439323904.00,EUR,EU,228898800.00
30-06-2021,EUR Entity,10026,5440278.012,9580032000.00,EUR,EU,239700240.00
31-07-2021,EUR Entity,10026,3793557.67,6680247552.00,EUR,EU,275700240.00
31-08-2021,EUR Entity,10026,3340589.76,5882595840.00,EUR,EU,305416800.00
30-09-2021,EUR Entity,10026,4394708.39,7738841088.00,EUR,EU,361987200.00
31-10-2021,EUR Entity,10026,4531233.462,7979254272.00,EUR,EU,373377600.00
30-11-2021,EUR Entity,10026,7348002.168,12939429888.00,EUR,EU,729187200.00
31-12-2021,EUR Entity,10026,10559838.68,18595298304.00,EUR,EU,352800000.00
31-01-2022,EUR Entity,10026,7960233.628,14017536000.00,EUR,EU,21303360.00
28-02-2022,EUR Entity,10026,7654070.796,13478400000.00,EUR,EU,56160000.00
31-03-2022,EUR Entity,10026,2059863.533,3627307008.00,EUR,EU,234000000.00
30-04-2022,EUR Entity,10026,9797210.619,17252352000.00,EUR,EU,290160000.00
31-05-2022,EUR Entity,10026,11327718.62,19947492864.00,EUR,EU,297568440.00
30-06-2022,EUR Entity,10026,12858838.94,22643712000.00,EUR,EU,311610312.00
31-07-2022,EUR Entity,10026,8966590.856,15789676032.00,EUR,EU,358410312.00
31-08-2022,EUR Entity,10026,7895939.433,13904317440.00,EUR,EU,397041840.00
30-09-2022,EUR Entity,10026,10387492.56,18291806208.00,EUR,EU,470583360.00
31-10-2022,EUR Entity,10026,10710188.18,18860055552.00,EUR,EU,485390880.00
30-11-2022,EUR Entity,10026,9184884.955,16174080000.00,EUR,EU,947943360.00
31-12-2022,EUR Entity,10026,4167769.116,7339213440.00,EUR,EU,458640000.00
31-01-2023,EUR Entity,10026,12144459,21385728000.00,EUR,EU,29824704.00
28-02-2023,EUR Entity,10026,11677364.42,20563200000.00,EUR,EU,1247943360.00
31-03-2023,EUR Entity,10026,11359353.41,40003200000.00,EUR,EU,1167600000.00
30-04-2023,EUR Entity,10026,14947026.46,26320896000.00,EUR,EU,406224000.00
31-05-2023,EUR Entity,10026,17282032.25,30432713472.00,EUR,EU,416595816.00
30-06-2023,EUR Entity,10026,19617972.22,34546176000.00,EUR,EU,436254436.80
31-07-2023,EUR Entity,10026,13679798.87,24089377536.00,EUR,EU,501774436.80
31-08-2023,EUR Entity,10026,12046369.14,21212997120.00,EUR,EU,555858576.00
30-09-2023,EUR Entity,10026,15847584.8,27906729984.00,EUR,EU,658816704.00
31-10-2023,EUR Entity,10026,16339902.48,28773674496.00,EUR,EU,679547232.00
30-11-2023,EUR Entity,10026,26497341.15,46660368384.00,EUR,EU,1327120704.00
31-12-2023,EUR Entity,10026,38079418.28,67055772672.00,EUR,EU,642096000.00
31-01-2024,EUR Entity,10026,26370825.25,46437580800.00,EUR,EU,44737056.00
29-02-2024,EUR Entity,10026,25356562.74,44651520000.00,EUR,EU,117936000.00
31-03-2024,EUR Entity,10026,6823958.164,12016617062.00,EUR,EU,491400000.00
30-04-2024,EUR Entity,10026,32456400.31,57153945600.00,EUR,EU,609336000.00
31-05-2024,EUR Entity,10026,37526698.59,66082463539.00,EUR,EU,624893724.00
30-06-2024,EUR Entity,10026,42599025.4,75014553600.00,EUR,EU,654381655.30
31-07-2024,EUR Entity,10026,29704706.12,52308362650.00,EUR,EU,752661655.30
31-08-2024,EUR Entity,10026,26157830.12,46062508032.00,EUR,EU,833787864.00
30-09-2024,EUR Entity,10026,34411898.42,60597470822.00,EUR,EU,988225056.00
31-10-2024,EUR Entity,10026,35480931.11,62479978906.00,EUR,EU,1019320848.00
30-11-2024,EUR Entity,10026,57537083.64,101320000000.00,EUR,EU,1990681056.00
31-12-2024,EUR Entity,10026,82686736.83,145607000000.00,EUR,EU,963144000.00
