Date,Entity,Entity ID,Orders,Sales,Currency,Region,Inventory Purchase
31-01-2020,US Entity,10006,153326.7387,1270000000.00,USD,America,4096800.00
29-02-2020,US Entity,10006,184559.9633,625000000.00,USD,America,10800000.00
31-03-2020,US Entity,10006,12924.8762,8760000.00,USD,America,45000000.00
30-04-2020,US Entity,10006,249865.7964,567806700.00,USD,America,55800000.00
31-05-2020,US Entity,10006,141969.2025,540000000.00,USD,America,57224700.00
30-06-2020,US Entity,10006,221471.9559,580000000.00,USD,America,59925060.01
31-07-2020,US Entity,10006,180536.5561,517915000.00,USD,America,68925060.01
31-08-2020,US Entity,10006,91172.62185,660550000.00,USD,America,76354200.00
30-09-2020,US Entity,10006,128771.7454,696760000.00,USD,America,90496800.00
31-10-2020,US Entity,10006,155706.1425,724190000.00,USD,America,93344400.00
30-11-2020,US Entity,10006,200324.2235,792760000.00,USD,America,182296800.00
31-12-2020,US Entity,10006,578427.9611,2618580000.00,USD,America,88200000.00
31-01-2021,US Entity,10006,1328831.735,1840000000.00,USD,America,4916160.00
28-02-2021,US Entity,10006,1022178.258,1089500000.00,USD,America,12960000.00
31-03-2021,US Entity,10006,275088.6128,484416000.00,USD,America,54000000.00
30-04-2021,US Entity,10006,1308388.17,2304000000.00,USD,America,66960000.00
31-05-2021,US Entity,10006,1512782.935,2663928000.00,USD,America,68669640.00
30-06-2021,US Entity,10006,1717259.473,3024000000.00,USD,America,71910072.01
31-07-2021,US Entity,10006,1197461.386,2108664000.00,USD,America,82710072.01
31-08-2021,US Entity,10006,1054479.091,1856880000.00,USD,America,91625040.00
30-09-2021,US Entity,10006,1387218.557,2442816000.00,USD,America,108596160.00
31-10-2021,US Entity,10006,1430313.593,2518704000.00,USD,America,112013280.00
30-11-2021,US Entity,10006,2319445.129,4084416000.00,USD,America,218756160.00
31-12-2021,US Entity,10006,3333282.412,5869728000.00,USD,America,105840000.00
31-01-2022,US Entity,10006,2126130.777,3744000000.00,USD,America,6391008.00
28-02-2022,US Entity,10006,2044356.516,3600000000.00,USD,America,16848000.00
31-03-2022,US Entity,10006,550177.2256,968832000.00,USD,America,70200000.00
30-04-2022,US Entity,10006,2616776.34,4608000000.00,USD,America,87048000.00
31-05-2022,US Entity,10006,3025565.869,5327856000.00,USD,America,89270532.00
30-06-2022,US Entity,10006,3434518.947,6048000000.00,USD,America,93483093.61
31-07-2022,US Entity,10006,2394922.771,4217328000.00,USD,America,107523093.60
31-08-2022,US Entity,10006,2108958.182,3713760000.00,USD,America,119112552.00
30-09-2022,US Entity,10006,2774437.115,4885632000.00,USD,America,141175008.00
31-10-2022,US Entity,10006,2860627.186,5037408000.00,USD,America,145617264.00
30-11-2022,US Entity,10006,2453227.819,4320000000.00,USD,America,284383008.00
31-12-2022,US Entity,10006,1113186.196,1960260000.00,USD,America,137592000.00
31-01-2023,US Entity,10006,3012018.6,5304000000.00,USD,America,8947411.20
28-02-2023,US Entity,10006,2896171.731,5100000000.00,USD,America,374383008.00
31-03-2023,US Entity,10006,41135753.62,22000000000.00,USD,America,350280000.00
30-04-2023,US Entity,10006,3707099.816,6528000000.00,USD,America,121867200.00
31-05-2023,US Entity,10006,4286218.315,7547796000.00,USD,America,124978744.80
30-06-2023,US Entity,10006,4865568.508,8568000000.00,USD,America,130876331.10
31-07-2023,US Entity,10006,3392807.259,5974548000.00,USD,America,150532331.10
31-08-2023,US Entity,10006,2987690.758,5261160000.00,USD,America,166757572.80
30-09-2023,US Entity,10006,3930452.58,6921312000.00,USD,America,197645011.20
31-10-2023,US Entity,10006,4052555.18,7136328000.00,USD,America,203864169.60
30-11-2023,US Entity,10006,6571761.198,11572512000.00,USD,America,398136211.20
31-12-2023,US Entity,10006,9444300.168,16630896000.00,USD,America,192628800.00
31-01-2024,US Entity,10006,5722835.34,10077600000.00,USD,America,13421116.80
29-02-2024,US Entity,10006,5502726.289,9690000000.00,USD,America,35380800.00
31-03-2024,US Entity,10006,1480893.699,2607772800.00,USD,America,147420000.00
30-04-2024,US Entity,10006,7043489.65,12403200000.00,USD,America,182800800.00
31-05-2024,US Entity,10006,8143814.799,14340812400.00,USD,America,187468117.20
30-06-2024,US Entity,10006,9244580.165,16279200000.00,USD,America,196314496.60
31-07-2024,US Entity,10006,6446333.793,11351641200.00,USD,America,225798496.60
31-08-2024,US Entity,10006,5676612.44,9996204000.00,USD,America,250136359.20
30-09-2024,US Entity,10006,7467859.901,13150492800.00,USD,America,296467516.80
31-10-2024,US Entity,10006,7699854.842,13559023200.00,USD,America,305796254.40
30-11-2024,US Entity,10006,12486346.28,21987772800.00,USD,America,597204316.80
31-12-2024,US Entity,10006,17944170.32,31598702400.00,USD,America,488943200.00
